Year,Month,Material Description,Quantity
2018,4,037/A CONTACT FINGER,8000
2018,4,037/B CONTACT FINGER,12000
2018,4,1000/0 WHEEL STARTER,8020
2018,4,1003/0 FACE DRIVE,36040
2018,4,1004/0 PLATE SIDE,20160
2018,4,1005/0 GEAR STARTER CLUTCH,4920
2018,4,1007/0 STOPPER LEVER ASSY.,6075
2018,4,1012/0 GEAR STARTER CLUTCH,4824
2018,4,1013/F - F DISCHARGE VALVE PLATE 1W,7200
2018,4,1013/R - R DISCHARGE VALVE PLATE 1W,7200
2018,4,1015/0 GEAR STARTER CLUTCH,18000
2018,4,162/0 VALVE SPRING DISC,13300
2018,4,256/1 CONTACT FINGER,40000
2018,4,337/4 HOLDER,54912
2018,4,487/0 PLATE VALVE INLET TS5,1200
2018,4,488/0 PLATE VALVE DISC TS5,1200
2018,4,490/0 PRESSURE PLATE 4.5MM,3000
2018,4,492/0 PRESSURE PLATE 6.5MM,5000
2018,4,500/0 THRUST WASHER,40000
2018,4,503/0 TONGUE SPACER,66000
2018,4,505/0 COUPLING,15200
2018,4,531/0 SPROCKET CRANK SHAFT-4.38 THK,27250
2018,4,537/0 CAM SENSOR WHEEL,576
2018,4,542/0 CLOSE LATCH SUB ASSEMBLY,400
2018,4,543/0 TRIGGER WHEEL,1410
2018,4,553/0 PLATE PRESSURE CLUTCH,15000
2018,4,558/0 LOCK WASHER BRG NUT,36180
2018,4,560/0 VALVE PLATE CR06,10000
2018,4,565/0 FACE  DRIVE,84600
2018,4,569/0  VALVE  PLATE,105000
2018,4,"572/0 GEAR COMP, STARTER CLUTCH",15008
2018,4,"578/0 LEVER,  REVERSE GEAR SHIFT",13000
2018,4,"579/0 BRACKET,  REVERSE GEAR SHIFT",13920
2018,4,589/0 SPROCKET,3600
2018,4,590/0 PAWL,100000
2018,4,591/0 PAWL GEAR SHIFT,80000
2018,4,592/0 WHEEL STARTER,3600
2018,4,593/0 GEAR STARTER CLUTCH,19920
2018,4,"595/0 LOCK WASHER BEARING HUB, 6.5T P-II",21600
2018,4,602/0 SPROCKET CAM SHAFT-4.52 THK,27990
2018,4,605/0 COVER OIL PUMP,2856
2018,4,606/0 WHEEL STARTER,25500
2018,4,607/0 WHEEL  STARTER,45000
2018,4,614/0 SEGMENT,50000
2018,4,760/0 RETAINER PLATE,2400
2018,4,762/0 PRESSURE PLATE,2400
2018,4,764/1 PRESSURE PLATE(R/G),3200
2018,4,793/0 PLATE SYNC HUB,10000
2018,4,813/2 LEVER SHIFT - 1,15000
2018,4,814/2 LEVER SHIFT - 2,48000
